Date,Volume,VW,Open,Close,High,Low,Number_of_trades
2023-01-03 09:00:00,105101.0,386.3892814814815,384.0,386.5,386.83,384.0,774
2023-01-03 09:30:00,41301.0,386.6618740740741,386.68,386.83,386.83,386.41,295
2023-01-03 10:00:00,52199.0,386.08469444444444,386.63,385.82,386.64,385.73,261
2023-01-03 10:30:00,63532.0,385.92148095238093,385.77,386.06,386.21,385.62,320
2023-01-03 11:00:00,20372.0,385.5966375,385.9,385.53,386.0,385.38,205
2023-01-03 11:30:00,109106.0,384.6021074074074,385.57,383.96,385.67,383.52,805
2023-01-03 12:00:00,190868.0,383.7455366666666,383.95,383.82,384.16,383.34,1396
2023-01-03 12:30:00,210153.0,384.1578733333333,383.82,384.31,384.44,383.82,989
2023-01-03 13:00:00,655313.0,384.18379,383.53,384.15,386.7204,382.77,3989
2023-01-03 13:30:00,242686.0,384.5229033333333,384.13,384.69,384.88,384.0,1833
2023-01-03 14:00:00,501675.0,384.76663666666667,384.66,384.4,385.28,382.43,3484
2023-01-03 14:30:00,9345487.0,384.0307266666667,384.37,381.71,386.43,381.6601,81814
2023-01-03 15:00:00,7393601.0,381.56671,381.77,380.94,382.58,380.145,52864
2023-01-03 15:30:00,5024179.0,381.19112333333334,380.89,382.04,382.095,380.07,43999
2023-01-03 16:00:00,5054160.0,380.60658333333333,382.0499,380.0382,382.33,379.48,47814
2023-01-03 16:30:00,5119822.0,379.4324966666666,380.04,379.07,380.05,378.65,43466
2023-01-03 17:00:00,3145212.0,379.19505666666663,379.11,378.94,379.73,378.43,32583
2023-01-03 17:30:00,3184709.0,378.8296933333333,378.965,378.61,380.02,377.831,31614
2023-01-03 18:00:00,3087102.0,378.67446333333334,378.63,379.52,379.6857,378.34,23671
2023-01-03 18:30:00,2580659.0,379.55644666666666,379.52,379.83,379.99,378.96,23497
2023-01-03 19:00:00,2935168.0,379.36293666666666,379.84,378.99,380.23,378.79,27291
2023-01-03 19:30:00,4782256.0,379.43771333333336,379.0,380.0399,380.75,378.09,41595
2023-01-03 20:00:00,4898674.0,380.37878,380.02,380.36,381.15,379.82,44547
2023-01-03 20:30:00,8647110.0,380.81215333333336,380.37,380.84,381.3,380.29,72300
2023-01-03 21:00:00,4933886.0,380.64765,380.84,380.56,380.93,380.16,4384
2023-01-03 21:30:00,596463.0,380.6275625,380.61,380.69,380.81,380.49,737
2023-01-03 22:00:00,14256.0,380.90747142857145,380.61,380.56,380.7,380.48,158
2023-01-03 22:30:00,23561.0,380.6013888888889,380.56,380.61,380.65,380.56,90
2023-01-03 23:00:00,75328.0,380.4920590909091,380.58,380.6,380.64,380.31,378
2023-01-03 23:30:00,28505.0,380.61208999999997,380.52,380.79,380.79,380.4,1525
2023-01-04 00:00:00,53401.0,380.8623423076923,380.79,381.1,381.11,380.67,371
2023-01-04 00:30:00,63567.0,380.791056,381.09,380.77,381.1,380.63,397
2023-01-04 09:00:00,25674.0,382.3382130434782,382.5,382.18,382.51,382.09,295
2023-01-04 09:30:00,9329.0,382.36851666666666,382.04,382.38,382.62,382.0,115
2023-01-04 10:00:00,6392.0,382.6626857142857,382.38,382.73,382.87,382.38,82
2023-01-04 10:30:00,7477.0,382.1954529411764,382.69,382.08,382.69,381.87,84
2023-01-04 11:00:00,4560.0,382.482875,382.3,382.55,382.69,382.26,66
2023-01-04 11:30:00,18893.0,382.65711764705884,382.57,382.38,382.81,382.38,110
2023-01-04 12:00:00,133315.0,382.06952962962964,382.28,381.88,382.39,381.78,930
2023-01-04 12:30:00,286647.0,381.83143333333334,381.89,381.84,382.19,381.4,1672
2023-01-04 13:00:00,281662.0,382.48472000000004,382.17,382.96,383.25,381.3,2525
2023-01-04 13:30:00,256436.0,383.00802333333337,383.0,382.92,383.28,382.69,2032
2023-01-04 14:00:00,413409.0,382.6356866666667,382.97,383.18,383.27,382.31,2829
2023-01-04 14:30:00,6544505.0,382.9754566666667,383.18,383.23,384.17,381.9,61292
2023-01-04 15:00:00,7914128.0,381.2794733333333,383.16,381.65,384.27,380.0,69951
2023-01-04 15:30:00,4591830.0,382.00637333333333,381.66,382.975,382.975,380.86,38528
2023-01-04 16:00:00,3818915.0,383.0787866666667,382.97,383.581,383.69,382.311,37255
2023-01-04 16:30:00,5745382.0,385.18889,383.6,385.48,385.88,383.6,49150
2023-01-04 17:00:00,3022274.0,385.3450966666667,385.5,385.195,385.645,385.08,28835
2023-01-04 17:30:00,2470124.0,385.3277066666667,385.2,384.34,385.74,384.33,26075
2023-01-04 18:00:00,3534424.0,384.56895999999995,384.35,384.83,385.1,383.65,32397
2023-01-04 18:30:00,2300499.0,384.89386,384.83,384.14,385.33,383.95,23928
2023-01-04 19:00:00,9443294.0,383.3692466666667,384.26,381.49,385.56,381.2,80322
2023-01-04 19:30:00,5715893.0,382.16693666666663,381.5,383.2301,383.35,381.14,49266
2023-01-04 20:00:00,4574282.0,383.33172666666667,383.26,382.765,384.08,382.62,37392
2023-01-04 20:30:00,13518329.0,382.11295666666666,382.76,383.74,383.99,381.2163,77213
2023-01-04 21:00:00,8125570.0,383.40522,383.7,383.42,383.95,383.32,6036
2023-01-04 21:30:00,657880.0,383.2167448275862,383.42,383.42,383.76,383.15,1711
2023-01-04 22:00:00,133159.0,383.5402481481481,383.31,383.76,383.88,383.29,623
2023-01-04 22:30:00,40796.0,383.7351136363637,383.78,383.61,383.8006,383.61,418
2023-01-04 23:00:00,60953.0,383.495575,383.45,383.6,383.61,383.38,308
2023-01-04 23:30:00,53398.0,383.78126153846154,383.63,383.63,383.87,383.63,309
2023-01-05 00:00:00,19560.0,383.5949666666667,383.55,383.7,383.75,383.42,202
2023-01-05 00:30:00,52168.0,383.4912851851852,383.7,383.37,383.7,383.34,345
2023-01-05 09:00:00,19688.0,382.95424285714284,383.0,383.25,383.42,382.52,243
2023-01-05 09:30:00,10242.0,383.229375,383.34,383.6,383.6,383.01,88
2023-01-05 10:00:00,20556.0,383.88928636363636,383.64,383.87,384.1,383.59,150
2023-01-05 10:30:00,11123.0,384.0635789473684,383.93,384.08,384.32,383.83,113
2023-01-05 11:00:00,23794.0,384.36336666666665,384.12,384.3,384.6,384.08,172
2023-01-05 11:30:00,51209.0,384.3508625,384.37,384.29,384.71,384.14,285
2023-01-05 12:00:00,103028.0,384.2661178571429,384.28,384.44,384.56,384.06,920
2023-01-05 12:30:00,115092.0,384.3020517241379,384.35,383.88,384.92,383.8,1041
2023-01-05 13:00:00,433363.0,383.2231366666667,384.24,382.67,384.9,382.2,3443
2023-01-05 13:30:00,593762.0,381.90404,382.78,381.71,382.78,381.4,3582
2023-01-05 14:00:00,847163.0,381.3247166666667,381.66,381.67,381.74,380.88,4239
2023-01-05 14:30:00,9280168.0,380.1363,381.72,380.12,381.76,378.89,76022
2023-01-05 15:00:00,7441155.0,380.41263,380.13,380.23,381.84,379.64,63160
2023-01-05 15:30:00,6195856.0,380.3450266666667,380.235,379.39,380.7,379.28,36561
2023-01-05 16:00:00,4378244.0,379.65809,379.4,379.305,380.34,378.76,35190
2023-01-05 16:30:00,3319892.0,379.7752466666667,379.2899,379.3,380.12,379.13,23311
2023-01-05 17:00:00,2674130.0,379.81344333333334,379.29,379.75,380.19,379.095,23586
2023-01-05 17:30:00,2226763.0,379.74767333333335,379.7399,379.42,380.45,379.335,22073
2023-01-05 18:00:00,4933987.0,379.9185066666667,379.435,380.77,381.43,379.04,37171
2023-01-05 18:30:00,4185810.0,380.86194666666665,380.77,380.57,381.47,380.34,30585
2023-01-05 19:00:00,2907561.0,380.65757666666667,380.58,380.18,381.07,380.06,25547
2023-01-05 19:30:00,2719538.0,381.02916666666664,380.19,380.8009,381.71,380.15,26118
2023-01-05 20:00:00,4213407.0,380.1435466666666,380.82,379.62,380.82,379.39,35517
2023-01-05 20:30:00,10256999.0,379.54721,379.63,379.4,379.955,378.915,74984
2023-01-05 21:00:00,5959026.0,379.67688,379.44,379.76,379.8,379.27,3905
2023-01-05 21:30:00,222023.0,379.7295269230769,379.79,379.76,379.84,379.65,766
2023-01-05 22:00:00,40160.0,379.6463166666667,379.74,379.4,379.77,379.4,188
2023-01-05 22:30:00,30357.0,379.73455714285717,379.68,379.77,379.85,379.64,186
2023-01-05 23:00:00,85393.0,379.8529904761905,379.85,379.9,380.0,379.7,438
2023-01-05 23:30:00,265802.0,380.0106565217391,379.95,380.0,380.2,379.38,232
2023-01-06 00:00:00,18455.0,380.134147826087,380.0,380.23,380.25,380.0,225
2023-01-06 00:30:00,23765.0,380.2803166666667,380.25,380.34,380.38,380.18,298
2023-01-06 09:00:00,24200.0,379.5141681818182,380.0,379.25,380.0,379.18,264
2023-01-06 09:30:00,18029.0,379.24351,379.2,379.48,379.49,378.99,141
2023-01-06 10:00:00,8836.0,379.58323846153843,379.38,379.52,379.92,379.17,85
2023-01-06 10:30:00,15040.0,379.672775,379.62,379.38,379.93,379.38,107
2023-01-06 11:00:00,63913.0,379.76365999999996,379.38,379.7,380.04,379.31,305
2023-01-06 11:30:00,14285.0,379.58205555555554,379.85,379.66,379.85,379.3,132
2023-01-06 12:00:00,118875.0,379.4474333333333,379.55,379.47,379.66,379.26,772
2023-01-06 12:30:00,133990.0,379.4018433333333,379.55,379.44,379.62,379.13,822
2023-01-06 13:00:00,267885.0,379.04597333333334,379.43,379.0,380.89,378.43,2425
