timestamp,volume,vw,open,close,high,low,t,number_of_trades
2023-01-03 09:00:00,14020.0,385.7785,384.0,385.84,386.0,384.0,1672736400000,154
2023-01-03 09:01:00,4598.0,385.9866,385.84,386.0,386.14,385.79,1672736460000,56
2023-01-03 09:02:00,2063.0,386.1291,386.04,386.1,386.23,386.04,1672736520000,24
2023-01-03 09:03:00,3067.0,386.2387,386.13,386.45,386.45,386.12,1672736580000,28
2023-01-03 09:04:00,2450.0,386.4966,386.45,386.51,386.54,386.45,1672736640000,27
2023-01-03 09:05:00,4273.0,386.5046,386.5,386.52,386.53,386.5,1672736700000,25
2023-01-03 09:06:00,6937.0,386.3309,386.4,386.11,386.4,386.08,1672736760000,33
2023-01-03 09:07:00,6515.0,386.0335,386.2,385.99,386.2,385.98,1672736820000,33
2023-01-03 09:08:00,11445.0,385.9438,385.96,385.92,385.99,385.91,1672736880000,25
2023-01-03 09:09:00,20903.0,385.9619,385.95,385.96,386.03,385.91,1672736940000,66
2023-01-03 09:10:00,1108.0,386.2274,386.18,386.22,386.28,386.18,1672737000000,14
2023-01-03 09:11:00,5279.0,386.2929,386.13,386.33,386.37,386.13,1672737060000,31
2023-01-03 09:12:00,816.0,386.4061,386.39,386.43,386.43,386.39,1672737120000,14
2023-01-03 09:14:00,294.0,386.4868,386.51,386.51,386.51,386.51,1672737240000,11
2023-01-03 09:15:00,1189.0,386.5295,386.54,386.51,386.55,386.51,1672737300000,16
2023-01-03 09:16:00,5033.0,386.654,386.44,386.78,386.79,386.44,1672737360000,43
2023-01-03 09:17:00,892.0,386.7514,386.76,386.75,386.76,386.75,1672737420000,13
2023-01-03 09:18:00,626.0,386.6473,386.67,386.67,386.67,386.67,1672737480000,10
2023-01-03 09:19:00,1250.0,386.3547,386.46,386.28,386.46,386.28,1672737540000,24
2023-01-03 09:20:00,1982.0,386.5005,386.48,386.5,386.52,386.48,1672737600000,17
2023-01-03 09:23:00,422.0,386.583,386.59,386.58,386.59,386.58,1672737780000,8
2023-01-03 09:24:00,1332.0,386.6701,386.63,386.7,386.7,386.63,1672737840000,15
2023-01-03 09:25:00,466.0,386.7894,386.79,386.83,386.83,386.79,1672737900000,13
2023-01-03 09:26:00,3475.0,386.6668,386.77,386.61,386.78,386.61,1672737960000,25
2023-01-03 09:27:00,1807.0,386.569,386.56,386.57,386.59,386.53,1672738020000,18
2023-01-03 09:28:00,1970.0,386.486,386.5,386.49,386.5,386.47,1672738080000,17
2023-01-03 09:29:00,889.0,386.4915,386.49,386.5,386.5,386.49,1672738140000,14
2023-01-03 09:30:00,224.0,386.6708,386.68,386.68,386.68,386.68,1672738200000,7
2023-01-03 09:31:00,1209.0,386.521,386.53,386.5,386.53,386.5,1672738260000,12
2023-01-03 09:32:00,433.0,386.6302,386.58,386.68,386.68,386.58,1672738320000,10
2023-01-03 09:33:00,303.0,386.6204,386.62,386.62,386.62,386.62,1672738380000,4
2023-01-03 09:34:00,1682.0,386.6472,386.65,386.65,386.65,386.62,1672738440000,11
2023-01-03 09:35:00,1480.0,386.6785,386.68,386.66,386.75,386.66,1672738500000,14
2023-01-03 09:36:00,858.0,386.6404,386.65,386.6,386.65,386.6,1672738560000,10
2023-01-03 09:37:00,471.0,386.5252,386.51,386.53,386.53,386.51,1672738620000,12
2023-01-03 09:39:00,1628.0,386.4848,386.5,386.41,386.5,386.41,1672738740000,13
2023-01-03 09:40:00,306.0,386.5765,386.47,386.63,386.63,386.47,1672738800000,8
2023-01-03 09:41:00,386.0,386.6975,386.7,386.7,386.7,386.7,1672738860000,6
2023-01-03 09:42:00,2178.0,386.6964,386.74,386.69,386.74,386.66,1672738920000,16
2023-01-03 09:44:00,12027.0,386.5908,386.55,386.49,386.62,386.49,1672739040000,42
2023-01-03 09:45:00,1826.0,386.5846,386.53,386.65,386.65,386.53,1672739100000,11
2023-01-03 09:46:00,238.0,386.6499,386.67,386.67,386.67,386.67,1672739160000,7
2023-01-03 09:47:00,198.0,386.7034,386.72,386.72,386.72,386.72,1672739220000,5
2023-01-03 09:49:00,160.0,386.7351,386.74,386.74,386.74,386.74,1672739340000,5
2023-01-03 09:50:00,268.0,386.7386,386.72,386.79,386.79,386.72,1672739400000,6
2023-01-03 09:51:00,744.0,386.7837,386.81,386.78,386.81,386.78,1672739460000,7
2023-01-03 09:52:00,1020.0,386.7702,386.77,386.77,386.77,386.77,1672739520000,6
2023-01-03 09:53:00,129.0,386.739,386.73,386.73,386.73,386.73,1672739580000,2
2023-01-03 09:54:00,186.0,386.7115,386.7,386.7,386.7,386.7,1672739640000,6
2023-01-03 09:55:00,2590.0,386.6904,386.66,386.7,386.7,386.66,1672739700000,12
2023-01-03 09:56:00,6625.0,386.6764,386.7,386.66,386.7,386.66,1672739760000,28
2023-01-03 09:57:00,768.0,386.6494,386.69,386.64,386.69,386.64,1672739820000,10
2023-01-03 09:58:00,1608.0,386.6612,386.64,386.69,386.69,386.64,1672739880000,12
2023-01-03 09:59:00,1756.0,386.7975,386.8,386.83,386.83,386.79,1672739940000,13
2023-01-03 10:03:00,498.0,386.6284,386.63,386.63,386.63,386.63,1672740180000,8
2023-01-03 10:08:00,5186.0,386.5979,386.64,386.45,386.64,386.45,1672740480000,26
2023-01-03 10:10:00,1622.0,386.4714,386.46,386.48,386.48,386.45,1672740600000,14
2023-01-03 10:12:00,1461.0,386.2947,386.37,386.27,386.37,386.27,1672740720000,12
2023-01-03 10:13:00,1232.0,386.2019,386.23,386.15,386.26,386.15,1672740780000,21
2023-01-03 10:14:00,868.0,386.1564,386.16,386.14,386.16,386.14,1672740840000,8
2023-01-03 10:15:00,2282.0,386.2415,386.2,386.24,386.25,386.2,1672740900000,12
2023-01-03 10:16:00,1128.0,386.0974,386.13,386.06,386.13,386.06,1672740960000,11
2023-01-03 10:17:00,1405.0,386.0461,386.07,386.05,386.07,386.04,1672741020000,7
2023-01-03 10:18:00,5185.0,386.012,386.02,386.06,386.06,386.0,1672741080000,28
2023-01-03 10:19:00,538.0,385.999,386.0,386.0,386.0,386.0,1672741140000,5
2023-01-03 10:20:00,21109.0,385.9505,385.96,385.95,385.96,385.95,1672741200000,44
2023-01-03 10:21:00,4247.0,385.8831,385.91,385.77,385.92,385.77,1672741260000,29
2023-01-03 10:22:00,726.0,385.7544,385.75,385.8,385.8,385.75,1672741320000,10
2023-01-03 10:24:00,537.0,385.7895,385.79,385.79,385.79,385.79,1672741440000,4
2023-01-03 10:25:00,3275.0,385.793,385.78,385.86,385.86,385.78,1672741500000,13
2023-01-03 10:26:00,350.0,385.82,385.81,385.81,385.81,385.81,1672741560000,6
2023-01-03 10:27:00,550.0,385.7873,385.73,385.82,385.82,385.73,1672741620000,3
2023-01-03 10:30:00,211.0,385.7716,385.77,385.77,385.77,385.77,1672741800000,3
2023-01-03 10:31:00,484.0,385.7419,385.71,385.71,385.71,385.71,1672741860000,12
2023-01-03 10:33:00,501.0,385.719,385.72,385.72,385.72,385.72,1672741980000,4
2023-01-03 10:34:00,768.0,385.8859,385.84,385.91,385.91,385.84,1672742040000,12
2023-01-03 10:35:00,1001.0,385.7644,385.81,385.72,385.81,385.72,1672742100000,9
2023-01-03 10:36:00,1060.0,385.6557,385.67,385.64,385.67,385.64,1672742160000,7
2023-01-03 10:37:00,1110.0,385.6269,385.62,385.63,385.63,385.62,1672742220000,10
2023-01-03 10:38:00,1401.0,385.794,385.67,385.87,385.87,385.67,1672742280000,13
2023-01-03 10:39:00,3846.0,385.8511,385.86,385.85,385.86,385.85,1672742340000,21
2023-01-03 10:40:00,35710.0,385.8496,385.85,385.85,385.85,385.83,1672742400000,125
2023-01-03 10:41:00,11695.0,385.8492,385.85,385.86,385.86,385.83,1672742460000,47
2023-01-03 10:42:00,513.0,386.0175,385.97,386.05,386.05,385.97,1672742520000,6
2023-01-03 10:44:00,356.0,386.0335,386.04,386.04,386.04,386.04,1672742640000,6
2023-01-03 10:45:00,1549.0,386.0673,386.03,386.16,386.16,386.03,1672742700000,11
2023-01-03 10:46:00,212.0,386.1173,386.12,386.12,386.12,386.12,1672742760000,3
2023-01-03 10:49:00,500.0,386.07,386.07,386.07,386.07,386.07,1672742940000,3
2023-01-03 10:51:00,127.0,386.0603,386.06,386.06,386.06,386.06,1672743060000,4
2023-01-03 10:53:00,1890.0,386.0825,386.07,386.12,386.12,386.07,1672743180000,15
2023-01-03 10:54:00,226.0,386.1277,386.13,386.13,386.13,386.13,1672743240000,4
2023-01-03 10:57:00,171.0,386.2057,386.21,386.21,386.21,386.21,1672743420000,3
2023-01-03 10:58:00,201.0,386.06,386.06,386.06,386.06,386.06,1672743480000,2
2023-01-03 11:00:00,705.0,385.8728,385.9,385.89,385.9,385.85,1672743600000,8
2023-01-03 11:04:00,202.0,386.0,386.0,386.0,386.0,386.0,1672743840000,4
2023-01-03 11:06:00,656.0,385.9868,386.0,385.92,386.0,385.92,1672743960000,6
2023-01-03 11:08:00,427.0,385.8514,385.85,385.85,385.85,385.85,1672744080000,6
2023-01-03 11:09:00,1608.0,385.744,385.76,385.74,385.76,385.74,1672744140000,8
2023-01-03 11:10:00,406.0,385.7521,385.77,385.77,385.77,385.77,1672744200000,5
2023-01-03 11:12:00,1883.0,385.5189,385.6,385.5,385.6,385.5,1672744320000,10
2023-01-03 11:13:00,2505.0,385.4002,385.45,385.39,385.45,385.39,1672744380000,10
2023-01-03 11:14:00,500.0,385.42,385.42,385.42,385.42,385.42,1672744440000,4
2023-01-03 11:15:00,1719.0,385.3873,385.4,385.39,385.4,385.38,1672744500000,14
2023-01-03 11:16:00,1045.0,385.5072,385.45,385.53,385.53,385.45,1672744560000,10
2023-01-03 11:17:00,647.0,385.549,385.53,385.53,385.53,385.53,1672744620000,14
2023-01-03 11:18:00,570.0,385.5582,385.56,385.56,385.58,385.56,1672744680000,9
2023-01-03 11:19:00,606.0,385.4663,385.48,385.4,385.48,385.4,1672744740000,7
2023-01-03 11:20:00,726.0,385.4472,385.4,385.45,385.45,385.4,1672744800000,10
2023-01-03 11:21:00,978.0,385.527,385.47,385.55,385.55,385.47,1672744860000,13
2023-01-03 11:22:00,1258.0,385.5506,385.54,385.56,385.56,385.54,1672744920000,18
2023-01-03 11:23:00,925.0,385.5624,385.57,385.55,385.57,385.55,1672744980000,10
2023-01-03 11:24:00,551.0,385.4928,385.49,385.49,385.49,385.49,1672745040000,4
2023-01-03 11:25:00,310.0,385.5041,385.5,385.5,385.5,385.5,1672745100000,6
